Date,Open,High,Low,Close,Volume,"EMA(5,Modern)","EMA(10,Modern)","EMA(20,Modern)","EMA(50,Modern)","EMA(100,Modern)","KST(10,10|15,10|20,10|30,15)",SMA(10),RSI(14),"MACD(12,26)","EMA(9,Modern)",Histogram
11/14/16,115.84,115.94,114.03,114.63,35905979,115.6246173,115.9741679,116.4873924,116.6562175,115.284847,-15.76841574,-7.983174679,40.26277642,-0.568374594,-0.425779826,-0.142594769
11/15/16,115.47,116.62,115.33,116.22,31796602,115.8230782,116.0188646,116.4619264,116.6391109,115.3033649,-17.09995967,-9.815341596,48.08121327,-0.51645727,-0.443915314,-0.072541955
11/16/16,115.7,116.9932,115.67,116.91,16538132,116.1853855,116.1808892,116.5046001,116.649734,115.3351795,-16.92435935,-11.42111345,51.07384083,-0.414853015,-0.438102855,0.02324984
11/17/16,116.86,117.78,116.61,117.76,20598553,116.710257,116.4680003,116.624162,116.6932739,115.3831957,-14.86537318,-12.54109466,54.54938209,-0.262714604,-0.403025204,0.1403106
11/18/16,117.83,118.1,117.21,117.32,16428659,116.9135047,116.6229093,116.6904323,116.7178514,115.4215483,-12.73398232,-13.13046874,52.47148924,-0.17562366,-0.357544896,0.181921235
11/21/16,117.6,118.65,117.57,118.54,20268547,117.4556698,116.9714713,116.8665816,116.7893082,115.4832998,-11.66729817,-13.41315298,57.32542832,-0.008066668,-0.28764925,0.279582582
11/22/16,118.97,119.19,118.61,118.9,18850641,117.9371132,117.3221129,117.0602405,116.8720804,115.5509572,-10.18443321,-13.42986659,58.66685194,0.152020054,-0.199715389,0.351735443
11/23/16,118.51,118.64,117.9,118.42,22925954,118.0980755,117.5217287,117.1897414,116.9327831,115.60777,-8.611967163,-13.27045811,56.13323881,0.237421104,-0.112288091,0.349709194
11/25/16,118.56,118.85,118.42,118.8,7162785,118.3320503,117.7541417,117.3430994,117.0060073,115.6709824,-4.901392632,-12.60650083,57.69102228,0.331938495,-0.023442774,0.355381268
11/28/16,118.64,119.08,118.4101,118.53,13479045,118.3980335,117.8952068,117.4561375,117.0657717,115.7275966,-1.217408033,-11.39745895,56.16485885,0.380669345,0.05737965,0.323289695
